Use Case,Status,Price,Discount code,Pain,Loss Reason,Source,City,Created Year,Created Month,Close Year,Close Month
2,1,200.0,81,3,5,1,2,2019,6,2019,6
1,0,200.0,67,1,3,1,2,2019,4,2019,4
1,0,768.0,2,1,3,0,15,2019,4,2019,5
2,1,1344.0,6,2,5,1,2,2019,6,2019,6
1,1,300.0,60,1,5,1,2,2019,4,2019,4
2,2,240.0,2,1,5,0,2,2019,7,2019,7
3,1,240.0,81,1,5,0,2,2019,4,2019,4
3,0,240.0,2,1,4,1,2,2019,4,2019,4
2,1,450.0,84,2,5,0,2,2019,4,2019,4
4,1,100.0,2,1,5,0,2,2019,4,2018,11
4,1,100.0,2,1,5,0,2,2019,4,2018,11
4,1,1303.7540329575022,2,1,5,0,2,2019,4,2019,2
4,1,1303.7540329575022,2,1,5,0,2,2019,4,2019,4
4,1,1303.7540329575022,2,1,5,0,2,2019,4,2019,4
4,1,1303.7540329575022,2,1,5,0,2,2019,4,2019,4
4,1,100.0,2,1,5,0,2,2019,4,2018,11
4,1,100.0,2,1,5,0,2,2019,4,2018,2
4,1,100.0,2,1,5,0,2,2019,4,2018,9
4,1,100.0,2,1,5,0,2,2019,4,2018,10
4,1,100.0,2,1,5,0,2,2019,4,2018,11
4,1,100.0,2,1,5,0,2,2019,4,2018,11
4,1,100.0,2,1,5,0,2,2019,4,2018,9
4,1,100.0,2,1,5,0,2,2019,4,2018,12
4,1,100.0,2,1,5,0,2,2019,4,2018,11
4,1,1303.7540329575022,2,1,5,0,2,2019,5,2019,8
1,1,360.0,66,2,5,0,2,2019,5,2019,5
1,1,120.0,94,1,5,0,17,2019,5,2019,5
4,1,1303.7540329575022,2,1,5,0,2,2019,5,2019,5
2,1,768.0,51,1,5,0,2,2019,5,2019,5
1,0,360.0,2,1,4,0,2,2019,5,2019,5
1,0,768.0,2,1,0,1,16,2019,5,2019,5
2,0,360.0,20,1,4,1,3,2019,7,2019,7
4,1,1303.7540329575022,2,1,5,0,2,2019,5,2019,5
1,0,150.0,2,1,1,0,2,2019,5,2019,5
1,1,768.0,2,1,5,1,1,2019,5,2019,5
1,0,1344.0,2,1,4,1,16,2019,5,2019,5
2,1,14876.0,17,2,5,1,2,2019,5,2019,6
1,1,768.0,2,1,5,0,18,2019,5,2019,5
1,0,240.0,2,1,3,1,0,2019,5,2019,5
1,0,360.0,79,1,5,1,2,2019,5,2019,6
2,0,500.0,2,0,4,1,2,2019,6,2019,6
1,1,150.0,65,1,5,0,16,2019,6,2019,6
1,1,360.0,66,1,5,0,9,2019,6,2019,6
2,0,240.0,62,0,4,0,2,2019,6,2019,6
3,1,768.0,2,1,5,0,2,2019,6,2019,6
2,1,1344.0,6,1,5,1,9,2019,6,2019,6
1,1,32396.0,0,1,5,0,2,2019,7,2019,7
1,0,2.0,2,1,3,0,2,2019,7,2019,7
3,1,360.0,20,1,5,0,16,2019,7,2019,8
1,1,450.0,35,1,5,0,2,2019,7,2019,7
3,0,300.0,83,1,0,0,2,2019,7,2019,8
1,0,360.0,2,1,7,0,11,2019,7,2019,3
3,1,768.0,51,1,5,0,2,2019,7,2019,3
1,2,1303.7540329575022,2,2,5,0,16,2019,7,2019,7
3,0,1344.0,2,1,4,0,2,2019,8,2019,3
2,1,14876.0,17,2,5,0,12,2019,8,2018,12
2,1,360.0,1,1,5,0,2,2019,3,2019,3
1,2,1303.7540329575022,2,1,5,0,2,2019,3,2019,3
2,1,300.0,27,0,5,0,0,2019,3,2019,3
1,1,768.0,2,1,5,0,2,2019,3,2019,3
1,1,768.0,2,1,5,0,15,2019,3,2019,3
1,0,300.0,60,1,1,1,2,2019,3,2019,4
1,1,768.0,2,1,5,0,2,2019,3,2019,4
3,0,360.0,2,1,0,0,2,2019,3,2019,7
1,1,768.0,2,1,5,0,11,2019,3,2019,4
2,0,200.0,2,0,4,0,2,2019,3,2019,3
3,0,240.0,2,3,4,0,2,2019,3,2019,6
1,1,360.0,79,1,5,0,2,2019,3,2019,3
3,1,768.0,51,1,5,1,8,2019,3,2019,4
3,0,960.0,111,1,4,0,1,2019,3,2019,10
1,1,360.0,66,1,5,0,2,2019,4,2019,4
1,0,360.0,2,1,4,0,11,2019,4,2019,4
1,1,240.0,26,1,5,1,2,2019,4,2019,4
2,1,240.0,81,0,5,0,2,2019,4,2019,4
1,1,240.0,62,1,5,1,2,2019,4,2019,4
2,1,360.0,1,1,5,1,16,2019,4,2019,4
2,0,120.0,2,1,4,0,2,2019,4,2019,4
2,0,240.0,26,1,4,0,17,2019,6,2019,6
1,1,768.0,2,1,5,0,7,2018,3,2018,3
1,1,360.0,79,1,5,0,0,2019,6,2019,6
1,1,360.0,66,1,5,0,2,2019,5,2019,5
2,1,360.0,1,2,5,1,4,2019,5,2019,5
1,1,360.0,66,1,5,1,14,2019,5,2019,5
1,1,768.0,2,1,5,1,2,2019,12,2019,8
2,1,1344.0,6,2,5,0,2,2019,5,2019,5
1,0,240.0,22,1,0,0,2,2019,12,2019,8
2,0,200.0,2,1,4,1,2,2019,6,2019,6
4,1,100.0,2,1,5,0,2,2019,4,2018,11
4,1,100.0,2,1,5,0,2,2019,4,2018,12
4,1,100.0,2,1,5,0,2,2019,4,2018,10
4,1,100.0,2,1,5,0,2,2019,4,2018,11
4,1,100.0,2,1,5,0,2,2019,4,2018,1
4,1,1303.7540329575022,2,1,5,0,2,2019,4,2019,2
4,1,1303.7540329575022,2,1,5,0,2,2019,4,2019,2
4,1,1303.7540329575022,2,1,5,0,2,2019,4,2019,9
4,1,1303.7540329575022,2,1,5,0,2,2019,4,2019,2
4,1,1303.7540329575022,2,1,5,0,2,2019,4,2019,2
4,1,1303.7540329575022,2,1,5,0,2,2019,4,2019,2
4,1,1303.7540329575022,2,1,5,0,2,2019,4,2019,2
4,1,1303.7540329575022,2,1,5,0,2,2019,4,2019,2
4,1,1303.7540329575022,2,1,5,0,2,2019,4,2019,9
4,1,1303.7540329575022,2,1,5,0,2,2019,4,2019,10
4,1,1303.7540329575022,2,1,5,0,2,2019,4,2018,12
4,1,1303.7540329575022,2,1,5,0,2,2019,4,2019,2
4,1,1303.7540329575022,2,1,5,0,2,2019,4,2019,3
4,1,1303.7540329575022,2,1,5,0,2,2019,4,2019,7
4,1,1303.7540329575022,2,1,5,0,2,2019,4,2019,3
4,1,1303.7540329575022,2,1,5,0,2,2019,4,2018,12
4,1,1303.7540329575022,2,1,5,0,2,2019,4,2019,3
4,1,1303.7540329575022,2,1,5,0,2,2019,4,2019,3
1,0,120.0,2,1,0,0,2,2019,8,2019,11
4,1,1303.7540329575022,2,1,5,0,2,2019,8,2019,10
2,1,1344.0,6,2,5,0,2,2019,8,2019,8
3,0,360.0,2,1,1,1,12,2019,8,2019,9
4,1,1303.7540329575022,2,1,5,0,2,2019,8,2019,8
1,1,1344.0,110,1,5,0,2,2019,8,2019,8
1,1,768.0,2,1,5,0,2,2019,8,2019,8
3,0,120.0,2,1,3,0,2,2019,5,2019,5
1,0,1344.0,2,1,4,1,17,2019,5,2019,5
1,0,360.0,66,1,0,0,2,2019,5,2019,5
1,0,1344.0,2,1,4,0,2,2019,5,2019,5
2,0,200.0,2,0,0,0,4,2019,5,2019,5
1,1,600.0,70,1,5,0,2,2019,5,2019,5
1,0,768.0,2,1,0,0,2,2019,5,2019,5
1,1,768.0,2,1,5,0,2,2019,5,2019,5
2,0,264904.0,54,1,4,1,5,2019,5,2019,5
4,0,1303.7540329575022,2,1,1,0,2,2019,5,2019,10
4,0,1303.7540329575022,2,1,1,0,2,2019,5,2019,6
4,0,1303.7540329575022,2,1,1,0,2,2019,5,2019,10
4,1,1303.7540329575022,2,1,5,0,2,2019,5,2019,4
4,1,1303.7540329575022,2,1,5,0,2,2019,5,2019,2
4,0,1303.7540329575022,2,1,4,0,2,2019,5,2019,10
4,0,1303.7540329575022,2,1,1,0,2,2019,5,2019,10
4,1,1303.7540329575022,2,1,5,0,2,2019,5,2019,5
4,0,1303.7540329575022,2,1,1,0,2,2019,5,2019,10
4,0,1303.7540329575022,2,1,4,0,2,2019,5,2019,1
1,0,120.0,2,1,3,1,2,2019,5,2019,5
2,0,14876.0,65,0,0,1,15,2019,5,2019,5
4,0,1303.7540329575022,2,1,0,0,2,2019,5,2019,5
2,1,960.0,111,1,5,0,2,2019,5,2019,5
1,1,360.0,79,1,5,0,2,2019,5,2019,5
3,0,768.0,51,0,4,1,8,2019,5,2019,5
1,1,360.0,79,2,5,0,2,2019,6,2019,6
1,0,200.0,2,1,0,0,2,2019,6,2019,6
1,1,150.0,28,1,5,0,2,2019,6,2019,6
1,1,768.0,2,2,5,0,2,2019,6,2019,7
2,0,1344.0,2,0,7,0,2,2019,6,2019,10
2,1,960.0,111,2,5,1,2,2019,6,2019,6
2,0,0.0,2,1,4,1,16,2019,6,2019,6
1,1,360.0,66,1,5,0,2,2019,6,2019,6
1,1,1008.0,76,1,5,0,16,2019,6,2019,6
1,1,768.0,2,2,5,0,2,2019,8,2019,8
1,1,1344.0,110,1,5,0,16,2019,8,2019,8
1,1,360.0,79,1,5,0,2,2019,8,2019,3
1,1,768.0,2,1,5,0,2,2019,8,2019,8
1,0,768.0,2,0,3,0,14,2019,8,2019,8
1,1,360.0,66,1,5,0,9,2019,3,2019,3
1,0,360.0,2,1,4,0,2,2019,3,2019,3
1,1,1344.0,110,0,5,0,2,2019,3,2019,3
2,1,120.0,64,3,5,0,2,2019,3,2019,3
1,1,768.0,2,0,5,0,2,2019,3,2019,3
1,1,960.0,8,1,5,0,2,2019,3,2019,3
1,1,768.0,2,1,5,0,2,2019,3,2019,3
1,0,120.0,2,1,0,0,2,2019,3,2019,3
1,1,768.0,2,1,5,0,18,2019,3,2019,3
2,0,150.0,65,1,7,1,15,2019,3,2019,5
3,1,768.0,2,1,5,1,2,2019,4,2019,4
1,1,768.0,2,1,5,0,2,2019,4,2019,4
2,1,768.0,51,1,5,0,16,2019,4,2019,4
2,0,0.0,2,1,1,1,2,2019,6,2019,4
1,1,150.0,72,1,5,1,15,2019,6,2019,6
2,1,768.0,51,1,5,0,2,2019,6,2019,6
3,1,960.0,111,1,5,0,2,2019,6,2019,6
1,1,1008.0,76,1,5,1,2,2019,6,2019,6
3,0,360.0,2,1,1,0,2,2019,6,2019,6
1,1,360.0,66,1,5,0,2,2019,11,2019,11
3,0,0.0,67,0,3,0,2,2019,5,2019,7
1,1,360.0,79,1,5,0,2,2019,8,2019,8
2,1,240.0,26,1,5,0,14,2019,7,2019,3
1,1,360.0,66,2,5,1,2,2019,5,2019,5
2,0,240.0,26,0,4,0,2,2019,5,2019,7
4,1,1303.7540329575022,2,1,5,0,2,2019,4,2019,3
4,1,1303.7540329575022,2,1,5,0,2,2019,4,2019,3
4,1,1303.7540329575022,2,1,5,0,2,2019,4,2019,3
4,1,1303.7540329575022,2,1,5,0,2,2019,4,2019,3
4,1,1303.7540329575022,2,1,5,0,2,2019,4,2019,3
1,1,240.0,62,1,5,1,16,2019,4,2019,4
1,0,360.0,79,1,0,0,9,2019,4,2019,4
1,1,150.0,72,0,5,0,2,2019,8,2019,8
3,0,768.0,51,1,4,0,2,2019,8,2019,5
1,1,14876.0,28,1,5,1,2,2019,8,2019,10
1,0,768.0,2,1,4,0,2,2019,8,2019,10
1,1,1344.0,6,1,5,1,2,2019,8,2019,10
3,1,768.0,51,1,5,0,2,2019,8,2019,9
2,1,300.0,83,1,5,0,17,2019,8,2019,10
1,0,0.0,2,0,4,1,2,2019,7,2019,8
1,0,360.0,2,0,5,0,2,2019,5,2019,5
3,0,324.0,97,1,4,1,2,2019,5,2019,5
4,1,1303.7540329575022,2,1,5,0,2,2019,5,2019,6
4,1,1303.7540329575022,2,1,5,0,2,2019,5,2019,5
3,1,960.0,111,1,5,0,2,2019,5,2019,5
1,0,300.0,2,1,4,0,2,2019,5,2019,5
1,1,360.0,66,1,5,1,11,2019,5,2019,5
1,1,1344.0,110,1,5,1,2,2019,5,2019,5
1,1,768.0,2,1,5,0,2,2019,5,2019,5
1,1,360.0,66,0,5,1,9,2019,5,2019,5
1,1,120.0,4,1,5,0,2,2019,5,2019,5
2,0,240.0,2,1,3,0,2,2019,5,2019,5
3,1,14876.0,65,1,5,1,2,2019,5,2019,6
4,0,1303.7540329575022,2,1,4,0,2,2019,5,2019,5
1,1,768.0,2,1,5,0,2,2019,5,2019,7
3,0,0.0,2,1,7,0,2,2019,5,2019,5
2,0,0.0,2,1,3,0,8,2019,5,2019,3
4,0,1303.7540329575022,2,1,1,0,2,2019,5,2019,10
4,0,1303.7540329575022,2,1,1,0,2,2019,5,2019,10
2,2,120.0,64,2,5,0,2,2019,7,2019,8
1,0,360.0,79,3,5,1,2,2019,7,2019,8
1,1,1344.0,110,1,5,0,2,2019,7,2019,7
4,1,1303.7540329575022,2,1,5,0,2,2019,7,2019,7
1,1,360.0,79,1,5,0,2,2019,7,2019,7
1,1,240.0,62,1,5,1,2,2019,7,2019,7
1,1,576.0,3,1,5,1,2,2019,7,2019,7
1,1,1344.0,110,1,5,1,9,2019,7,2019,7
4,1,1303.7540329575022,2,1,5,0,2,2019,6,2019,6
1,0,0.0,67,1,5,0,2,2019,6,2019,6
1,1,240.0,62,1,5,1,2,2019,6,2019,6
1,1,1344.0,110,1,5,1,2,2019,6,2019,6
1,0,0.0,2,1,3,1,0,2019,6,2019,6
4,1,1303.7540329575022,2,1,5,0,2,2019,6,2019,6
1,1,240.0,62,2,5,0,2,2019,6,2019,6
4,0,1303.7540329575022,2,1,1,0,2,2019,6,2019,10
3,1,240.0,81,2,5,0,2,2019,2,2019,2
1,1,1344.0,110,1,5,0,4,2019,8,2019,8
3,0,360.0,2,1,7,0,15,2019,8,2019,8
2,0,200.0,2,3,5,0,2,2019,8,2019,3
1,1,360.0,66,1,5,0,2,2019,8,2019,8
2,0,360.0,2,2,7,0,2,2019,8,2019,3
1,1,768.0,2,1,5,0,2,2019,8,2019,8
2,1,450.0,73,0,5,0,2,2019,9,2019,9
1,0,1344.0,2,0,0,0,16,2019,9,2019,10
3,1,768.0,51,1,5,0,2,2019,9,2019,9
1,1,768.0,2,1,5,0,2,2019,3,2019,3
3,1,768.0,51,1,5,0,2,2019,3,2019,3
1,1,324.0,0,0,5,0,2,2019,3,2019,3
1,1,960.0,8,1,5,0,1,2019,3,2019,3
2,0,960.0,111,1,4,0,11,2019,3,2019,3
1,1,360.0,66,1,5,1,0,2019,4,2019,4
1,0,150.0,2,1,3,0,2,2019,4,2019,4
3,0,960.0,111,1,7,1,14,2019,4,2019,4
1,1,150.0,72,0,5,0,16,2019,4,2019,4
3,1,120.0,64,1,5,0,10,2019,4,2019,4
3,1,960.0,111,1,5,0,2,2019,4,2019,4
1,0,240.0,2,0,7,1,15,2019,4,2019,5
1,1,768.0,2,1,5,0,2,2019,4,2019,4
3,1,120.0,64,2,5,1,2,2019,4,2019,4
1,1,240.0,62,1,5,0,2,2019,4,2019,4
1,1,150.0,72,1,5,0,14,2019,6,2019,6
1,1,14876.0,28,1,5,1,9,2019,6,2019,6
1,1,360.0,79,1,5,1,16,2019,6,2019,6
2,0,0.0,2,1,3,1,2,2019,6,2019,6
2,0,240.0,2,1,4,1,2,2019,6,2019,6
1,1,768.0,2,1,5,0,15,2019,6,2019,6
1,1,324.0,0,1,5,0,19,2018,8,2018,8
3,1,1008.0,78,1,5,0,2,2019,5,2019,6
1,0,300.0,2,1,0,0,2,2019,5,2019,6
2,0,360.0,20,1,4,1,2,2019,7,2019,7
1,2,1303.7540329575022,2,1,5,0,2,2019,4,2019,4
1,0,200.0,8,1,4,1,2,2019,4,2019,4
3,0,360.0,2,1,7,0,2,2019,4,2019,4
1,0,240.0,2,1,1,0,2,2019,4,2019,1
4,0,1303.7540329575022,2,1,4,0,2,2019,4,2019,4
2,1,960.0,111,1,5,0,2,2019,4,2019,4
1,1,360.0,79,1,5,0,10,2019,4,2019,4
1,0,150.0,2,1,0,0,2,2019,8,2019,10
1,1,768.0,2,1,5,0,2,2019,8,2019,10
1,1,768.0,2,1,5,1,1,2019,8,2019,8
1,1,1344.0,110,1,5,0,2,2019,9,2019,9
1,1,768.0,2,0,5,1,2,2019,9,2019,10
1,1,768.0,2,1,5,0,2,2019,9,2019,9
3,0,360.0,2,0,4,0,11,2019,9,2019,5
1,1,1344.0,110,1,5,0,2,2019,9,2019,9
1,0,360.0,2,1,4,0,2,2019,9,2019,5
1,1,120.0,4,1,5,0,2,2019,5,2019,5
1,1,240.0,62,2,5,1,9,2019,5,2019,5
1,0,1344.0,2,1,4,0,2,2019,5,2019,5
3,0,0.0,2,1,0,1,2,2019,5,2019,5
1,1,960.0,8,1,5,0,2,2019,5,2019,5
3,1,360.0,20,0,5,1,16,2019,5,2019,5
3,0,1344.0,2,1,0,0,2,2019,5,2019,5
4,1,1303.7540329575022,2,1,5,0,2,2019,5,2019,10
2,0,200.0,2,0,3,0,2,2019,5,2019,5
3,0,300.0,2,0,3,0,2,2019,5,2019,6
2,0,2400.0,2,2,3,0,15,2019,5,2019,5
4,1,1303.7540329575022,2,1,5,0,2,2019,5,2019,10
1,1,120.0,94,1,5,1,2,2019,5,2019,5
1,1,300.0,82,1,5,1,2,2019,5,2019,5
4,1,1303.7540329575022,2,1,5,0,2,2019,5,2019,5
1,0,1344.0,67,1,7,0,2,2019,5,2019,5
3,1,240.0,26,1,5,1,9,2019,7,2019,7
1,1,300.0,60,1,5,1,2,2019,7,2019,7
1,1,360.0,79,1,5,0,5,2019,7,2019,7
3,0,360.0,2,1,0,0,2,2019,7,2019,6
1,0,120.0,2,1,0,0,2,2019,7,2019,10
1,1,360.0,1,1,5,1,2,2019,7,2019,8
2,0,300.0,2,2,7,0,2,2019,8,2019,9
1,0,0.0,2,1,0,0,2,2019,8,2019,8
4,0,1303.7540329575022,2,1,4,0,2,2019,6,2019,6
4,1,1303.7540329575022,2,1,5,0,2,2019,6,2019,6
2,0,120.0,2,1,3,1,2,2019,6,2019,6
2,2,360.0,20,1,5,0,2,2019,6,2019,6
1,1,240.0,62,1,5,0,2,2019,6,2019,6
2,0,0.0,2,0,1,0,2,2019,6,2019,6
2,0,150.0,2,1,4,0,0,2019,6,2019,6
3,0,360.0,2,2,4,0,2,2019,9,2019,3
1,0,960.0,2,1,7,0,9,2019,9,2019,10
2,1,768.0,51,2,5,0,2,2019,9,2019,9
2,0,360.0,2,1,7,0,2,2019,3,2019,3
1,1,768.0,2,1,5,0,2,2019,3,2019,3
2,1,150.0,65,1,5,0,16,2019,3,2019,3
1,0,960.0,8,1,4,0,2,2019,3,2019,3
1,0,92928.0,2,2,4,0,2,2019,3,2019,4
1,1,240.0,62,2,5,0,2,2019,3,2019,3
3,1,1344.0,6,1,5,0,9,2019,3,2019,3
2,0,1344.0,2,1,0,0,2,2019,3,2019,4
2,0,360.0,2,0,4,0,2,2019,4,2019,6
2,1,768.0,51,1,5,0,2,2019,4,2019,5
1,0,960.0,8,1,0,1,2,2019,4,2019,11
1,1,360.0,66,1,5,0,14,2019,4,2019,5
3,0,300.0,2,1,7,1,2,2019,4,2019,4
1,0,360.0,2,1,4,1,2,2019,4,2019,10
3,1,576.0,49,1,5,0,2,2019,4,2019,4
1,1,240.0,62,1,5,0,2,2019,6,2019,6
2,2,0.0,2,0,5,0,16,2019,6,2019,6
2,0,0.0,2,1,1,0,2,2019,6,2019,6
1,0,576.0,3,1,1,0,13,2019,6,2019,6
1,0,360.0,1,1,4,1,2,2019,6,2019,6
4,1,1303.7540329575022,2,1,5,0,2,2019,6,2019,6
4,0,1303.7540329575022,2,1,1,0,2,2019,6,2019,10
3,1,264904.0,54,1,5,1,16,2019,6,2019,6
4,0,1303.7540329575022,2,1,4,0,2,2019,6,2019,10
1,1,360.0,66,1,5,0,2,2019,6,2019,6
1,1,360.0,66,1,5,0,2,2019,6,2019,6
2,0,324.0,2,0,4,1,2,2019,4,2019,7
2,2,768.0,51,2,5,0,2,2019,6,2019,6
1,1,240.0,22,1,5,0,2,2019,4,2019,1
1,0,240.0,62,1,4,0,2,2019,4,2019,4
4,0,1303.7540329575022,2,1,4,0,2,2019,4,2019,4
1,1,768.0,2,0,5,0,2,2019,4,2019,4
2,1,120.0,111,2,3,0,2,2019,4,2019,4
1,1,360.0,66,1,5,0,2,2019,4,2019,2
1,0,360.0,2,1,7,0,2,2019,4,2019,4
1,1,360.0,66,1,5,0,2,2019,9,2019,10
1,1,360.0,66,1,5,1,17,2019,9,2019,9
4,1,1303.7540329575022,2,1,5,0,2,2019,9,2019,10
1,0,240.0,2,1,4,0,2,2019,9,2019,10
1,1,240.0,62,1,5,1,2,2019,9,2019,9
1,1,1344.0,110,1,5,0,2,2019,5,2019,5
1,1,960.0,8,0,5,0,2,2019,5,2019,5
4,1,1303.7540329575022,2,1,5,0,2,2019,5,2019,5
1,0,0.0,2,1,4,0,19,2019,5,2019,5
1,0,768.0,2,1,0,1,2,2019,5,2019,5
3,0,0.0,2,1,0,1,2,2019,5,2019,5
3,1,240.0,26,1,5,1,15,2019,5,2019,6
1,1,960.0,8,1,5,0,2,2019,5,2019,5
1,0,360.0,2,1,0,1,2,2019,5,2019,5
4,0,1303.7540329575022,2,1,4,0,2,2019,5,2019,5
4,2,1303.7540329575022,2,1,5,0,2,2019,5,2019,5
2,0,150.0,2,1,4,0,2,2019,5,2019,5
1,1,240.0,22,1,5,0,18,2019,5,2019,1
1,1,150.0,28,1,5,0,2,2019,5,2019,5
1,1,240.0,62,1,5,0,17,2019,5,2019,5
3,1,240.0,81,1,5,1,2,2019,5,2019,1
1,1,1344.0,110,1,5,1,18,2019,8,2019,8
2,0,360.0,1,1,0,0,2,2019,8,2019,6
1,0,768.0,2,1,4,1,2,2019,8,2019,6
3,1,360.0,66,1,5,0,2,2019,8,2019,6
1,1,768.0,2,1,5,0,2,2019,8,2019,8
1,0,150.0,28,1,0,0,15,2019,8,2019,9
2,1,960.0,11,0,5,1,2,2019,7,2019,12
1,1,768.0,2,1,5,0,2,2019,6,2019,6
1,0,360.0,67,0,3,1,19,2019,6,2019,6
3,1,360.0,1,1,5,0,2,2019,6,2019,6
1,1,768.0,2,1,5,1,5,2019,6,2019,6
3,1,32396.0,97,1,5,0,2,2019,8,2019,11
1,0,360.0,2,1,5,0,2,2019,9,2019,3
1,0,360.0,2,1,5,0,8,2019,9,2019,3
1,0,360.0,79,1,4,0,15,2019,10,2019,3
1,0,768.0,2,1,4,0,2,2019,10,2019,10
3,1,1344.0,6,1,5,0,16,2019,10,2019,11
3,0,360.0,67,1,0,0,19,2019,10,2019,3
1,0,600.0,2,1,7,0,2,2019,10,2019,3
1,0,150.0,72,1,0,0,15,2019,3,2019,3
1,1,240.0,62,1,5,0,2,2019,3,2019,3
2,0,324.0,97,1,0,0,4,2019,3,2019,3
1,1,150.0,65,1,5,0,2,2019,3,2018,12
3,0,360.0,20,1,4,0,2,2019,3,2019,3
3,1,18150.0,17,2,5,0,2,2019,3,2019,3
1,1,360.0,79,1,5,0,2,2019,5,2019,5
3,0,360.0,20,0,7,0,2,2019,5,2019,7
3,1,960.0,111,1,5,0,2,2019,5,2019,5
3,2,1303.7540329575022,2,1,5,1,11,2019,5,2019,4
1,1,576.0,3,2,5,0,2,2019,5,2019,5
1,0,960.0,2,2,7,0,17,2019,5,2019,5
1,1,150.0,72,1,5,0,2,2019,4,2019,4
3,1,360.0,1,1,5,0,1,2019,4,2019,4
2,1,960.0,111,1,5,1,2,2019,4,2019,4
2,0,240.0,2,0,7,1,2,2019,4,2019,4
1,1,300.0,60,1,5,0,2,2019,4,2019,4
2,1,960.0,111,1,5,0,2,2019,4,2019,4
3,1,600.0,2,1,5,0,15,2019,4,2019,4
1,0,768.0,2,1,5,0,2,2019,4,2019,4
1,1,1344.0,110,1,5,1,9,2019,6,2019,6
2,0,120.0,64,1,0,1,2,2019,6,2019,6
2,0,600.0,2,0,3,1,16,2019,6,2019,6
2,1,960.0,111,2,5,1,2,2019,6,2019,6
1,0,120.0,47,1,7,0,17,2019,6,2019,6
2,0,240.0,2,1,0,1,2,2019,6,2019,6
1,1,240.0,22,0,5,1,2,2019,6,2019,6
2,0,200.0,2,1,0,0,7,2019,7,2019,7
3,1,768.0,2,1,5,0,2,2019,4,2019,4
1,1,360.0,66,1,5,0,2,2019,4,2019,4
3,0,120.0,2,0,7,0,2,2019,4,2019,4
2,0,240.0,2,1,1,0,2,2019,4,2019,4
1,1,150.0,72,1,5,0,2,2019,4,2019,4
3,1,240.0,22,1,5,0,2,2019,4,2019,1
1,0,360.0,66,1,4,0,16,2019,4,2019,4
1,1,240.0,62,1,5,1,16,2019,4,2019,4
2,1,300.0,27,1,5,0,2,2019,4,2019,4
4,1,1303.7540329575022,2,1,5,0,2,2019,4,2019,2
4,1,1303.7540329575022,2,1,5,0,2,2019,4,2018,12
4,1,1303.7540329575022,2,1,5,0,2,2019,4,2019,3
2,1,150.0,65,1,5,0,2,2019,9,2019,9
1,1,360.0,66,1,5,0,2,2019,10,2019,10
1,1,960.0,8,1,5,0,0,2019,10,2019,10
1,1,0.0,67,1,5,1,2,2019,10,2019,7
1,1,150.0,72,1,5,1,2,2019,10,2019,10
1,1,960.0,8,1,5,0,2,2019,10,2019,10
1,0,120.0,2,1,7,1,2,2019,10,2019,11
4,1,1303.7540329575022,2,1,5,0,2,2019,10,2019,11
1,1,768.0,2,1,5,0,2,2019,10,2019,10
4,1,1303.7540329575022,2,1,5,0,2,2019,5,2019,5
2,0,0.0,2,0,0,0,2,2019,1,2019,1
2,2,750.0,2,1,5,0,2,2019,1,2019,6
2,1,360.0,1,0,5,1,17,2019,1,2019,3
2,1,960.0,111,1,5,0,2,2019,1,2019,1
3,1,360.0,20,0,5,0,2,2019,1,2019,1
2,0,360.0,20,1,7,1,9,2019,1,2019,7
2,0,1344.0,2,1,5,0,0,2019,8,2019,6
1,0,360.0,79,1,4,0,17,2019,8,2019,6
2,0,0.0,2,1,0,1,18,2019,8,2019,6
1,1,360.0,66,0,5,0,2,2019,8,2019,8
1,1,240.0,62,1,5,0,2,2019,9,2019,9
1,0,360.0,2,1,3,1,12,2019,9,2019,6
1,1,1344.0,110,1,5,0,2,2019,10,2019,10
2,2,360.0,2,1,5,0,10,2019,3,2019,3
1,0,960.0,8,1,5,0,2,2019,3,2019,3
1,2,360.0,2,1,5,0,2,2019,3,2019,3
1,0,200.0,2,1,7,0,11,2019,3,2019,3
1,1,768.0,2,1,5,0,2,2019,3,2019,3
2,0,120.0,2,1,0,1,2,2019,5,2019,5
2,0,768.0,51,0,4,0,2,2019,5,2019,5
3,0,360.0,2,0,3,0,2,2019,4,2019,4
3,0,240.0,81,1,4,0,3,2019,4,2019,4
2,0,960.0,2,1,4,0,2,2019,4,2019,4
2,0,1680.0,36,1,4,1,17,2019,4,2019,4
4,0,200.0,2,1,4,0,2,2019,4,2019,4
3,0,300.0,2,1,7,0,7,2019,4,2019,4
1,1,960.0,8,1,5,0,2,2019,4,2019,4
2,0,120.0,2,1,4,1,2,2019,4,2019,4
3,0,360.0,2,1,4,1,2,2019,4,2019,4
3,1,120.0,47,1,5,0,17,2019,4,2019,4
1,1,360.0,66,1,5,0,2,2019,6,2019,6
1,0,360.0,2,1,1,0,2,2019,6,2019,6
2,1,150.0,65,1,5,1,16,2019,6,2019,6
3,2,150.0,2,0,5,0,2,2019,6,2019,1
3,0,360.0,2,1,1,0,2,2019,6,2019,6
2,1,240.0,62,1,5,1,8,2019,4,2019,4
4,1,200.0,2,1,5,0,2,2019,4,2019,4
1,1,1344.0,110,2,5,0,2,2019,4,2019,4
1,1,768.0,2,2,5,0,2,2019,4,2019,4
3,1,360.0,1,1,5,0,2,2019,4,2019,4
2,1,960.0,11,1,5,1,5,2019,4,2019,4
